OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
23517,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Sentinel Condominiums,320 Melrose Ave E,Seattle,WA,98102,7693700000,3,EAST,47.6214,-122.32765,1966,1,7,"28,291",0,"28,291",Multifamily Housing,Multifamily Housing,"28,291",,,,,,93,23.70000076,24.79999924,74.30000305,78,"669,217.6875","702,936",0,"196,136.5","669,218",0,0,false,,Compliant,,4.67,0.17
23518,2016,Multifamily LR (1-4),Low-Rise Multifamily,Serana Condominiums,621 5th Ave. North,Seattle,WA,98109,7695400000,7,MAGNOLIA / QUEEN ANNE,47.62514,-122.34784,1999,1,4,"34,459",0,"34,459",Multifamily Housing,Multifamily Housing,"39,350",,,,,,81,22.79999924,23.60000038,71.59999847,74.09999847,"897,359.6875","928,400.6875",0,"263,001.0938","897,360",0,0,false,,Compliant,,6.26,0.18
23519,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Serrano on California,4847 California AVE SW,Seattle,WA,98116,7697400000,1,SOUTHWEST,47.55769,-122.38708,2002,1,6,"40,025",0,"40,025",Multifamily Housing,Multifamily Housing,"40,025",,,,,,67,39.20000076,41.29999924,96.59999847,100.3000031,"1,568,668.375","1,652,909.125",0,"311,304.3125","1,062,170","5,064.979492","506,498",false,,Compliant,,34.3,0.86
23521,2016,Multifamily MR (5-9),Mid-Rise Multifamily,714 BELLEVUE,714 Bellevue Ave E,Seattle,WA,98102,7697980000,3,EAST,47.62551,-122.32633,1981,1,8,"25,012",0,"25,012",Multifamily Housing,Multifamily Housing,"25,012",,,,,,,31.29999924,33.59999847,98.30000305,105.5999985,"783,208.625","841,549.5",0,"229,545.2969","783,209",0,0,false,,Compliant,,5.46,0.22
23522,2016,Multifamily MR (5-9),Mid-Rise Multifamily,7 Highland,7 Highland Dr,Seattle,WA,98109,7698100000,7,MAGNOLIA / QUEEN ANNE,47.62933,-122.35628,1968,1,7,"35,750","5,041","30,709",Multifamily Housing,Multifamily Housing,"35,750",,,,,,100,34.79999924,36.79999924,76.5,81.90000153,"1,243,200.75","1,316,047.25",0,"200,407.5938","683,791","5,594.100098","559,410",false,,Compliant,,34.48,0.96
23523,2016,Multifamily MR (5-9),Mid-Rise Multifamily,700 Crockett Homeowners Assn.,700 Crockett Street,Seattle,WA,98109,7698120000,7,MAGNOLIA / QUEEN ANNE,47.63781,-122.34421,1984,1,5,"34,726",0,"34,726",Multifamily Housing,Multifamily Housing,"34,726",,,,,,70,24.89999962,25.89999962,78.19999695,81.30000305,"865,348","898,766.125",0,"253,619","865,348",0,0,false,,Compliant,,6.03,0.17
23530,2016,Multifamily LR (1-4),Low-Rise Multifamily,Capitol Hill Townhomes,1717-1718 16th Ave.,Seattle,WA,98122,7698400000,3,EAST,47.61701,-122.31171,1980,1,3,"49,106",0,"49,106",Multifamily Housing,Multifamily Housing,"49,106",,,,,,34,24.20000076,26.39999962,76.09999847,83,"1,190,733.5","1,298,705.875",0,"348,984","1,190,733",0,0,false,,Compliant,,8.3,0.17
23531,2016,Multifamily LR (1-4),Low-Rise Multifamily,Seventeen07 Condos,1707 Boylston Ave,Seattle,WA,98122,7698410000,3,EAST,47.61656,-122.32379,1965,1,3,"24,754",0,"24,754",Multifamily Housing,Multifamily Housing,"24,754",,,,,,66,27.29999924,28.70000076,85.80000305,90.30000305,"676,499.875","711,657.5",0,"198,270.7969","676,500",0,0,false,,Compliant,,4.72,0.19
23543,2016,Multifamily LR (1-4),Low-Rise Multifamily,Thorton Creek Condominium,12534 15th Ave NE,Seattle,WA,98125,8633100000,5,NORTH,47.72048,-122.31233,2002,1,3,"30,870",0,"30,870",Multifamily Housing,Multifamily Housing,"32,360",,,,,,66,24.39999962,25.60000038,76.5,80.30000305,"788,659.375","827,859.625",0,"231,142.7969","788,659",0,0,false,,Compliant,,5.5,0.18
23552,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Tobira Condominiums,108 5th Avenue S,Seattle,WA,98104,8653700000,2,DOWNTOWN,47.6015,-122.32722,2001,1,7,"109,284",0,"109,284","Multifamily Housing, Parking",Multifamily Housing,"78,669",Parking,"30,615",,,"20,172,016",100,22.10000038,23.20000076,69.40000153,72.90000153,"1,739,286.75","1,825,405.25",0,"509,755.6875","1,739,286",0,0,false,,Compliant,,12.13,0.11
